INFO:ML_struct:epoch: 1/2 | step: 100/938 | train loss: 1.9110 | val loss: 1.6559
INFO:ML_struct:epoch: 1/2 | step: 200/938 | train loss: 1.6163 | val loss: 1.5575
INFO:ML_struct:epoch: 1/2 | step: 300/938 | train loss: 1.5636 | val loss: 1.5599
INFO:ML_struct:epoch: 1/2 | step: 400/938 | train loss: 1.5435 | val loss: 1.5206
INFO:ML_struct:epoch: 1/2 | step: 500/938 | train loss: 1.5291 | val loss: 1.5119
INFO:ML_struct:epoch: 1/2 | step: 600/938 | train loss: 1.5172 | val loss: 1.5082
INFO:ML_struct:epoch: 1/2 | step: 700/938 | train loss: 1.5094 | val loss: 1.5008
INFO:ML_struct:epoch: 1/2 | step: 800/938 | train loss: 1.5105 | val loss: 1.5052
INFO:ML_struct:epoch: 1/2 | step: 900/938 | train loss: 1.5058 | val loss: 1.4949
INFO:ML_struct:epoch: 2/2 | step: 100/938 | train loss: 1.4998 | val loss: 1.4972
INFO:ML_struct:epoch: 2/2 | step: 200/938 | train loss: 1.4952 | val loss: 1.5188
INFO:ML_struct:epoch: 2/2 | step: 300/938 | train loss: 1.4988 | val loss: 1.5019
INFO:ML_struct:epoch: 2/2 | step: 400/938 | train loss: 1.4890 | val loss: 1.4894
INFO:ML_struct:epoch: 2/2 | step: 500/938 | train loss: 1.4899 | val loss: 1.4842
INFO:ML_struct:epoch: 2/2 | step: 600/938 | train loss: 1.4959 | val loss: 1.4851
INFO:ML_struct:epoch: 2/2 | step: 700/938 | train loss: 1.4927 | val loss: 1.4923
INFO:ML_struct:epoch: 2/2 | step: 800/938 | train loss: 1.4899 | val loss: 1.4829
INFO:ML_struct:epoch: 2/2 | step: 900/938 | train loss: 1.4924 | val loss: 1.4826
INFO:ML_struct:Done...!
INFO:ML_struct:epoch: 1/2 | step: 100/938 | train loss: 1.9529 | val loss: 1.7471
INFO:ML_struct:epoch: 1/2 | step: 200/938 | train loss: 1.6526 | val loss: 1.5632
INFO:ML_struct:epoch: 1/2 | step: 300/938 | train loss: 1.5609 | val loss: 1.5425
INFO:ML_struct:epoch: 1/2 | step: 400/938 | train loss: 1.5331 | val loss: 1.5237
INFO:ML_struct:epoch: 1/2 | step: 500/938 | train loss: 1.5226 | val loss: 1.5221
INFO:ML_struct:epoch: 1/2 | step: 600/938 | train loss: 1.5174 | val loss: 1.5079
INFO:ML_struct:epoch: 1/2 | step: 700/938 | train loss: 1.5099 | val loss: 1.4973
INFO:ML_struct:epoch: 1/2 | step: 800/938 | train loss: 1.5087 | val loss: 1.5046
INFO:ML_struct:epoch: 1/2 | step: 900/938 | train loss: 1.5049 | val loss: 1.4972
INFO:ML_struct:epoch: 2/2 | step: 100/938 | train loss: 1.4977 | val loss: 1.4963
INFO:ML_struct:epoch: 2/2 | step: 200/938 | train loss: 1.4960 | val loss: 1.4929
INFO:ML_struct:epoch: 2/2 | step: 300/938 | train loss: 1.4981 | val loss: 1.4984
INFO:ML_struct:epoch: 2/2 | step: 400/938 | train loss: 1.4927 | val loss: 1.4913
INFO:ML_struct:epoch: 2/2 | step: 500/938 | train loss: 1.4969 | val loss: 1.4883
INFO:ML_struct:epoch: 2/2 | step: 600/938 | train loss: 1.4949 | val loss: 1.4979
INFO:ML_struct:epoch: 2/2 | step: 700/938 | train loss: 1.4945 | val loss: 1.4981
INFO:ML_struct:epoch: 2/2 | step: 800/938 | train loss: 1.4994 | val loss: 1.4877
INFO:ML_struct:epoch: 2/2 | step: 900/938 | train loss: 1.4898 | val loss: 1.4894
INFO:ML_struct:epoch: 1/2 | step: 100/938 | train loss: 1.9174 | val loss: 1.7176
INFO:ML_struct:epoch: 1/2 | step: 200/938 | train loss: 1.7172 | val loss: 1.7043
INFO:ML_struct:epoch: 1/2 | step: 300/938 | train loss: 1.6986 | val loss: 1.6917
INFO:ML_struct:epoch: 1/2 | step: 400/938 | train loss: 1.7023 | val loss: 1.6832
INFO:ML_struct:epoch: 1/2 | step: 500/938 | train loss: 1.6305 | val loss: 1.6029
INFO:ML_struct:epoch: 1/2 | step: 600/938 | train loss: 1.6151 | val loss: 1.6029
INFO:ML_struct:epoch: 1/2 | step: 700/938 | train loss: 1.5951 | val loss: 1.5962
INFO:ML_struct:epoch: 1/2 | step: 800/938 | train loss: 1.5914 | val loss: 1.5945
INFO:ML_struct:epoch: 1/2 | step: 900/938 | train loss: 1.5922 | val loss: 1.5862
INFO:ML_struct:epoch: 2/2 | step: 100/938 | train loss: 1.5922 | val loss: 1.5843
INFO:ML_struct:epoch: 2/2 | step: 200/938 | train loss: 1.5861 | val loss: 1.5817
INFO:ML_struct:epoch: 2/2 | step: 300/938 | train loss: 1.5844 | val loss: 1.5810
INFO:ML_struct:epoch: 2/2 | step: 400/938 | train loss: 1.5886 | val loss: 1.5316
INFO:ML_struct:epoch: 2/2 | step: 500/938 | train loss: 1.5134 | val loss: 1.4982
INFO:ML_struct:epoch: 2/2 | step: 600/938 | train loss: 1.4957 | val loss: 1.4915
INFO:ML_struct:epoch: 2/2 | step: 700/938 | train loss: 1.4944 | val loss: 1.4894
INFO:ML_struct:epoch: 2/2 | step: 800/938 | train loss: 1.4936 | val loss: 1.4886
INFO:ML_struct:epoch: 2/2 | step: 900/938 | train loss: 1.4869 | val loss: 1.4860
INFO:ML_struct:epoch: 1/2 | step: 100/938 | train loss: 1.9561 | val loss: 1.7369
INFO:ML_struct:epoch: 1/2 | step: 200/938 | train loss: 1.6749 | val loss: 1.6301
INFO:ML_struct:epoch: 1/2 | step: 300/938 | train loss: 1.6284 | val loss: 1.6146
INFO:ML_struct:epoch: 1/2 | step: 400/938 | train loss: 1.6111 | val loss: 1.6048
INFO:ML_struct:epoch: 1/2 | step: 500/938 | train loss: 1.6089 | val loss: 1.5946
INFO:ML_struct:epoch: 1/2 | step: 600/938 | train loss: 1.5956 | val loss: 1.5868
INFO:ML_struct:epoch: 1/2 | step: 700/938 | train loss: 1.5957 | val loss: 1.5828
INFO:ML_struct:epoch: 1/2 | step: 800/938 | train loss: 1.5913 | val loss: 1.5770
INFO:ML_struct:epoch: 1/2 | step: 900/938 | train loss: 1.5873 | val loss: 1.5730
INFO:ML_struct:epoch: 2/2 | step: 100/938 | train loss: 1.5063 | val loss: 1.4943
INFO:ML_struct:epoch: 2/2 | step: 200/938 | train loss: 1.5020 | val loss: 1.4943
INFO:ML_struct:epoch: 2/2 | step: 300/938 | train loss: 1.4970 | val loss: 1.4906
INFO:ML_struct:epoch: 2/2 | step: 400/938 | train loss: 1.4977 | val loss: 1.4882
INFO:ML_struct:epoch: 2/2 | step: 500/938 | train loss: 1.4923 | val loss: 1.4864
INFO:ML_struct:epoch: 2/2 | step: 600/938 | train loss: 1.4895 | val loss: 1.4863
INFO:ML_struct:epoch: 2/2 | step: 700/938 | train loss: 1.4899 | val loss: 1.4846
INFO:ML_struct:epoch: 2/2 | step: 800/938 | train loss: 1.4902 | val loss: 1.4836
INFO:ML_struct:epoch: 2/2 | step: 900/938 | train loss: 1.4881 | val loss: 1.4820
INFO:ML_struct:epoch: 1/2 | step: 100/938 | train loss: 1.8916 | val loss: 1.6652
INFO:ML_struct:epoch: 1/2 | step: 200/938 | train loss: 1.5963 | val loss: 1.5458
INFO:ML_struct:epoch: 1/2 | step: 300/938 | train loss: 1.5522 | val loss: 1.5399
INFO:ML_struct:epoch: 1/2 | step: 400/938 | train loss: 1.5315 | val loss: 1.5223
INFO:ML_struct:epoch: 1/2 | step: 500/938 | train loss: 1.5240 | val loss: 1.5171
INFO:ML_struct:epoch: 1/2 | step: 600/938 | train loss: 1.5131 | val loss: 1.5137
INFO:ML_struct:epoch: 1/2 | step: 700/938 | train loss: 1.5100 | val loss: 1.5045
INFO:ML_struct:epoch: 1/2 | step: 800/938 | train loss: 1.5108 | val loss: 1.5012
INFO:ML_struct:epoch: 1/2 | step: 900/938 | train loss: 1.5068 | val loss: 1.5043
INFO:ML_struct:epoch: 2/2 | step: 100/938 | train loss: 1.4994 | val loss: 1.5021
INFO:ML_struct:epoch: 2/2 | step: 200/938 | train loss: 1.5024 | val loss: 1.4956
INFO:ML_struct:epoch: 2/2 | step: 300/938 | train loss: 1.4975 | val loss: 1.4912
INFO:ML_struct:epoch: 2/2 | step: 400/938 | train loss: 1.4991 | val loss: 1.4956
INFO:ML_struct:epoch: 2/2 | step: 500/938 | train loss: 1.4936 | val loss: 1.4916
INFO:ML_struct:epoch: 2/2 | step: 600/938 | train loss: 1.4940 | val loss: 1.4881
INFO:ML_struct:epoch: 2/2 | step: 700/938 | train loss: 1.4941 | val loss: 1.4868
INFO:ML_struct:epoch: 2/2 | step: 800/938 | train loss: 1.4901 | val loss: 1.4851
INFO:ML_struct:epoch: 2/2 | step: 900/938 | train loss: 1.4875 | val loss: 1.4859
INFO:ML_struct:Done...!
